Date,Sentiment_Score
01-01-2022,1
01-02-2022,5
01-03-2022,1
01-04-2022,5
01-05-2022,3
01-06-2022,4
01-07-2022,1
01-08-2022,5
01-09-2022,1
01-10-2022,4
01-11-2022,5
01-12-2022,4
01-13-2022,2
01-14-2022,3
01-15-2022,1
01-16-2022,5
01-17-2022,2
01-18-2022,4
01-19-2022,2
01-20-2022,5
01-21-2022,1
01-22-2022,3
01-23-2022,2
01-24-2022,2
01-25-2022,2
01-26-2022,1
01-27-2022,4
01-28-2022,5
01-29-2022,2
01-30-2022,4
01-31-2022,1
02-01-2022,2
02-02-2022,4
02-03-2022,4
02-04-2022,4
02-05-2022,3
02-06-2022,5
02-07-2022,5
02-08-2022,4
02-09-2022,2
02-10-2022,4
02-11-2022,1
02-12-2022,3
02-13-2022,5
02-14-2022,1
02-15-2022,2
02-16-2022,2
02-17-2022,4
02-18-2022,1
