,original_label,score_x,twitter_id,MR1_label,score_y,MR2_label,score_x,MR3_label,score_y,MR4_label,score
0,1 star,0.309827119,1467810369,4 stars,0.418583691,2 stars,0.445346922,2 stars,0.388012558,2 stars,0.395811856
1,1 star,0.641974926,1467810672,2 stars,0.332157016,2 stars,0.481413454,2 stars,0.418308526,2 stars,0.411248207
2,1 star,0.595927477,1467810917,4 stars,0.319158167,2 stars,0.519420207,2 stars,0.464404225,2 stars,0.447992772
3,2 stars,0.407505482,1467811184,4 stars,0.566445589,2 stars,0.443539858,3 stars,0.41786465,3 stars,0.419315577
4,1 star,0.847273529,1467811193,1 star,0.612949252,1 star,0.662097692,1 star,0.710007846,1 star,0.726678014
5,1 star,0.445714742,1467811372,3 stars,0.469214231,2 stars,0.468903303,2 stars,0.421177685,2 stars,0.422475904
6,5 stars,0.259823978,1467811592,4 stars,0.540522933,3 stars,0.500198901,3 stars,0.431553751,3 stars,0.434892565
7,4 stars,0.355991632,1467811594,4 stars,0.554532051,2 stars,0.393971264,3 stars,0.385231405,3 stars,0.375113159
8,1 star,0.504112363,1467811795,3 stars,0.375333577,2 stars,0.451864123,2 stars,0.379328579,2 stars,0.394487798
9,1 star,0.515933037,1467812025,4 stars,0.343667507,2 stars,0.409353435,2 stars,0.32650888,2 stars,0.355603755
10,3 stars,0.313873798,1467812416,4 stars,0.526735425,3 stars,0.466316581,3 stars,0.41605404,3 stars,0.441971332
11,2 stars,0.333209097,1467812579,4 stars,0.465959936,2 stars,0.484133035,3 stars,0.389383763,2 stars,0.38149339
12,2 stars,0.360735089,1467812723,4 stars,0.508400619,2 stars,0.45244348,3 stars,0.352084517,2 stars,0.383710653
13,3 stars,0.329203516,1467812771,3 stars,0.339527458,2 stars,0.426305771,3 stars,0.359809846,2 stars,0.363084406
14,3 stars,0.395435095,1467812784,4 stars,0.559846342,2 stars,0.44460994,3 stars,0.371658176,2 stars,0.366381854
15,1 star,0.251304746,1467812799,5 stars,0.470860362,2 stars,0.41036883,3 stars,0.243439957,2 stars,0.284468323
16,1 star,0.380410165,1467812964,4 stars,0.518333495,2 stars,0.503195107,2 stars,0.388278902,2 stars,0.419780493
17,1 star,0.547883511,1467813137,4 stars,0.49068737,2 stars,0.465319574,3 stars,0.38615191,2 stars,0.40056932
18,5 stars,0.703910589,1467813579,5 stars,0.626383185,2 stars,0.374694318,3 stars,0.284621418,3 stars,0.310880065
19,1 star,0.552437723,1467813782,5 stars,0.489327461,2 stars,0.429309458,2 stars,0.300563127,1 star,0.359642357
20,3 stars,0.378595769,1467813985,3 stars,0.445350081,2 stars,0.550509036,2 stars,0.49279958,2 stars,0.469369322
21,1 star,0.462477177,1467813992,4 stars,0.570583045,2 stars,0.483411551,2 stars,0.415942669,2 stars,0.433108836
22,1 star,0.481457204,1467814119,4 stars,0.407369375,2 stars,0.435059875,2 stars,0.322075307,2 stars,0.360975116
23,2 stars,0.399076551,1467814180,3 stars,0.394957453,2 stars,0.489725798,2 stars,0.434175074,2 stars,0.435620546
