,original_label,score_x,twitter_id,MR1_label,score_y,MR2_label,score_x,MR3_label,score_y,MR4_label,score
0,Negative,0.745751202,1467810369,Positive,0.381659955,Negative,0.766481102,Negative,0.641238451,Negative,0.831915736
1,Negative,0.900523305,1467810672,Negative,0.535997868,Negative,0.901215553,Negative,0.828672409,Negative,0.90963167
2,Neutral,0.655989587,1467810917,Positive,0.758327603,Neutral,0.542951763,Positive,0.493664324,Negative,0.569481313
3,Negative,0.897633076,1467811184,Negative,0.654880166,Negative,0.922678351,Negative,0.907913804,Negative,0.940573394
4,Negative,0.931198001,1467811193,Negative,0.813194811,Negative,0.912984133,Negative,0.882155001,Negative,0.933725357
5,Neutral,0.605324388,1467811372,Positive,0.715249002,Negative,0.785861611,Negative,0.613865077,Negative,0.890058756
6,Neutral,0.65865773,1467811592,Positive,0.751713812,Negative,0.733476758,Negative,0.548037887,Negative,0.860019326
7,Positive,0.922187865,1467811594,Positive,0.952994585,Positive,0.726335824,Positive,0.845458925,Positive,0.551847816
8,Neutral,0.518914223,1467811795,Neutral,0.505211115,Negative,0.767243683,Negative,0.604358375,Negative,0.889929414
9,Neutral,0.883470058,1467812025,Positive,0.817337394,Negative,0.755309403,Negative,0.556376576,Negative,0.885276854
10,Neutral,0.66542995,1467812416,Positive,0.970027208,Negative,0.655521989,Positive,0.388352573,Negative,0.780625522
11,Neutral,0.755674779,1467812579,Positive,0.957261622,Neutral,0.46212101,Neutral,0.433368266,Negative,0.715151131
12,Negative,0.942754328,1467812723,Negative,0.719696522,Negative,0.931360543,Negative,0.845533133,Negative,0.936065376
13,Negative,0.845712483,1467812771,Neutral,0.456519693,Negative,0.864106953,Negative,0.753185928,Negative,0.917827249
14,Negative,0.783901155,1467812784,Neutral,0.393429667,Negative,0.772704601,Negative,0.61992383,Negative,0.837333977
15,Positive,0.847045362,1467812799,Positive,0.945179284,Negative,0.616232753,Negative,0.439843178,Negative,0.653066993
16,Negative,0.913828373,1467812964,Negative,0.742930114,Negative,0.928388476,Negative,0.917818427,Negative,0.938873887
17,Neutral,0.875966549,1467813137,Positive,0.836154938,Neutral,0.514973521,Neutral,0.503726184,Negative,0.730136454
18,Positive,0.986928403,1467813579,Positive,0.988770604,Positive,0.521218419,Positive,0.802532971,Negative,0.387231022
19,Negative,0.61222136,1467813782,Positive,0.698245764,Negative,0.766755998,Negative,0.567385733,Negative,0.841628015
20,Negative,0.663417995,1467813985,Positive,0.799259245,Negative,0.822816849,Negative,0.658544779,Negative,0.888380826
21,Negative,0.608786762,1467813992,Positive,0.599989414,Negative,0.777282059,Negative,0.529632926,Negative,0.848920405
22,Neutral,0.654099047,1467814119,Positive,0.910718679,Negative,0.496678859,Neutral,0.445178211,Negative,0.735599875
23,Negative,0.900241613,1467814180,Positive,0.341467828,Negative,0.917557418,Negative,0.902673721,Negative,0.938186824
24,Neutral,0.946761906,1467814192,Positive,0.947389245,Negative,0.722488284,Neutral,0.440261185,Negative,0.853515506
25,Negative,0.903716087,1467814438,Negative,0.691558182,Negative,0.908721209,Negative,0.910616636,Negative,0.940917909
26,Neutral,0.495417237,1467814783,Positive,0.883620143,Negative,0.823761523,Negative,0.557220221,Negative,0.894481659
27,Negative,0.886352181,1467814883,Negative,0.800124407,Negative,0.917047262,Negative,0.897699893,Negative,0.928195834
28,Neutral,0.416587055,1467815199,Positive,0.782818735,Negative,0.559974909,Positive,0.367577076,Negative,0.60597688
29,Negative,0.925571501,1467815753,Negative,0.362941146,Negative,0.922957063,Negative,0.869769633,Negative,0.936944544
30,Negative,0.848445773,1467815923,Negative,0.511239946,Negative,0.900198162,Negative,0.891524136,Negative,0.929933965
31,Neutral,0.673767388,1467815924,Positive,0.522860467,Negative,0.79199481,Negative,0.732600391,Negative,0.862532496
32,Neutral,0.458743632,1467815988,Positive,0.886024475,Negative,0.57954216,Positive,0.513830185,Negative,0.730256796
33,Positive,0.983343244,1467816149,Positive,0.985127389,Positive,0.713793695,Positive,0.88759774,Positive,0.515160203
34,Negative,0.591039419,1467816665,Positive,0.752397239,Negative,0.766009748,Negative,0.570436954,Negative,0.874067903
35,Negative,0.913929999,1467816749,Negative,0.773686051,Negative,0.918073058,Negative,0.884942293,Negative,0.936206937
36,Negative,0.938718259,1467817225,Negative,0.520820737,Negative,0.93948561,Negative,0.918412387,Negative,0.946314514
37,Neutral,0.524630606,1467817374,Positive,0.827329159,Negative,0.691402793,Neutral,0.456610948,Negative,0.816889167
38,Negative,0.935534656,1467817502,Negative,0.850508273,Negative,0.923917353,Negative,0.89716512,Negative,0.937760592
39,Positive,0.53943485,1467818007,Positive,0.922017694,Negative,0.446381211,Positive,0.604372621,Negative,0.636492491
40,Negative,0.793705702,1467818020,Positive,0.430408031,Negative,0.854541898,Negative,0.703661442,Negative,0.892804801
41,Negative,0.532879293,1467818481,Positive,0.665943027,Negative,0.779305696,Negative,0.39632374,Negative,0.766275585
42,Negative,0.93978548,1467818603,Negative,0.928766906,Negative,0.940609217,Negative,0.938051164,Negative,0.945384324
43,Positive,0.466691911,1467818900,Positive,0.877737463,Negative,0.677393019,Negative,0.399805456,Negative,0.754878938
44,Negative,0.867662132,1467819022,Negative,0.807488441,Negative,0.900820673,Negative,0.890101433,Negative,0.914963245
45,Positive,0.977906823,1467819650,Positive,0.983791709,Positive,0.804617405,Positive,0.911909819,Positive,0.689017534
46,Neutral,0.742995679,1467819712,Positive,0.542542756,Negative,0.657271981,Negative,0.489384323,Negative,0.80208236
47,Neutral,0.404000789,1467819812,Positive,0.954441249,Neutral,0.392979175,Positive,0.646280408,Negative,0.651736677
48,Negative,0.681729257,1467820206,Neutral,0.468508333,Negative,0.784571528,Negative,0.621172905,Negative,0.865413606
49,Negative,0.843682468,1467820835,Positive,0.408685893,Negative,0.903742194,Negative,0.849440575,Negative,0.912512541
50,Negative,0.82433784,1467820863,Neutral,0.461253911,Negative,0.812134504,Negative,0.748152196,Negative,0.872824013
51,Negative,0.845414698,1467820906,Positive,0.684154093,Negative,0.798073292,Negative,0.56709975,Negative,0.842339754
52,Negative,0.901910186,1467821085,Positive,0.520709872,Negative,0.902856946,Negative,0.855436444,Negative,0.931356907
53,Negative,0.815735042,1467821338,Positive,0.454646885,Negative,0.815154731,Negative,0.560385227,Negative,0.870346904
54,Neutral,0.593534291,1467821455,Positive,0.702374816,Negative,0.764743328,Negative,0.599755406,Negative,0.873039246
55,Negative,0.7116552,1467821715,Neutral,0.439008921,Negative,0.644964814,Neutral,0.429622382,Negative,0.760830343
56,Negative,0.932110131,1467822384,Negative,0.659060359,Negative,0.927192092,Negative,0.880211294,Negative,0.939054012
57,Negative,0.860615253,1467822389,Positive,0.377102464,Negative,0.879266918,Negative,0.830870807,Negative,0.902823567
58,Negative,0.879281998,1467822519,Positive,0.946480215,Negative,0.85849148,Negative,0.735971749,Negative,0.914124906
59,Positive,0.849238932,1467822522,Positive,0.918171346,Positive,0.470919192,Positive,0.68557775,Neutral,0.38607043
60,Negative,0.600333035,1467822687,Positive,0.676459253,Negative,0.879359961,Negative,0.828707635,Negative,0.9075647
61,Neutral,0.622142434,1467822918,Positive,0.972264886,Negative,0.550368071,Positive,0.5381549,Negative,0.728273988
62,Neutral,0.481757104,1467823437,Positive,0.632617414,Negative,0.77290988,Negative,0.673991263,Negative,0.87313813
63,Negative,0.892102003,1467823770,Positive,0.401592672,Negative,0.885293365,Negative,0.786836147,Negative,0.914323807
64,Negative,0.719038367,1467823851,Positive,0.886458755,Negative,0.670547724,Positive,0.640711904,Negative,0.72004199
65,Negative,0.933947206,1467824199,Negative,0.776905775,Negative,0.92020601,Negative,0.860645831,Negative,0.923029125
66,Neutral,0.751521528,1467824664,Positive,0.924834311,Negative,0.596636415,Neutral,0.402860671,Negative,0.816415191
67,Negative,0.914663017,1467824967,Negative,0.651310325,Negative,0.909660399,Negative,0.881805539,Negative,0.933246851
68,Positive,0.864550412,1467825003,Positive,0.973010778,Neutral,0.380293995,Positive,0.585507333,Negative,0.589066446
69,Neutral,0.59593612,1467825084,Positive,0.963666737,Negative,0.562745273,Positive,0.405588031,Negative,0.720306098
70,Negative,0.614664078,1467825411,Positive,0.370820493,Negative,0.725864232,Negative,0.609285295,Negative,0.805443048
71,Positive,0.621580601,1467825642,Positive,0.925876737,Negative,0.598032653,Neutral,0.388006657,Negative,0.678012311
72,Negative,0.884373009,1467825863,Negative,0.607175052,Negative,0.862871945,Negative,0.748529017,Negative,0.881695688
73,Neutral,0.451056987,1467825883,Positive,0.893663108,Negative,0.701075077,Negative,0.410431355,Negative,0.822274923
74,Negative,0.847114563,1467826052,Neutral,0.496506006,Negative,0.870465755,Negative,0.768399358,Negative,0.917435706
75,Negative,0.577291071,1467833672,Positive,0.918702602,Negative,0.648140192,Neutral,0.406449139,Negative,0.802389383
76,Positive,0.614154458,1467833690,Positive,0.800013602,Positive,0.4048599,Positive,0.60572499,Neutral,0.354158551
