,original_label,score_x,twitter_id,MR1_label,score_y,MR2_label,score_x,MR3_label,score_y,MR4_label,score
0,LABEL_0,0.988990545,1467810369,LABEL_2,0.603761494,LABEL_1,0.897421002,LABEL_1,0.881630003,LABEL_1,0.861688137
1,LABEL_0,0.99575597,1467810672,LABEL_0,0.504102528,LABEL_0,0.986656725,LABEL_0,0.987377703,LABEL_0,0.988565147
2,LABEL_1,0.713206172,1467810917,LABEL_2,0.99194324,LABEL_1,0.950847507,LABEL_1,0.809099197,LABEL_1,0.869655192
3,LABEL_0,0.950491011,1467811184,LABEL_1,0.937851071,LABEL_1,0.917575777,LABEL_1,0.928048253,LABEL_1,0.924134493
4,LABEL_0,0.992964149,1467811193,LABEL_1,0.974529743,LABEL_1,0.947743237,LABEL_1,0.946412444,LABEL_1,0.937933803
5,LABEL_0,0.953277469,1467811372,LABEL_2,0.554127753,LABEL_1,0.827532947,LABEL_1,0.890430331,LABEL_1,0.894778848
6,LABEL_1,0.968156576,1467811592,LABEL_2,0.990684509,LABEL_1,0.872223914,LABEL_1,0.921170592,LABEL_1,0.917901099
7,LABEL_2,0.874988854,1467811594,LABEL_2,0.966634929,LABEL_1,0.969057322,LABEL_1,0.959824502,LABEL_1,0.967207253
8,LABEL_1,0.997120142,1467811795,LABEL_1,0.927747965,LABEL_1,0.835866332,LABEL_1,0.938564301,LABEL_1,0.958678365
9,LABEL_1,0.996778071,1467812025,LABEL_2,0.993920684,LABEL_1,0.968313336,LABEL_1,0.973194897,LABEL_1,0.973943114
10,LABEL_1,0.997396946,1467812416,LABEL_2,0.99279201,LABEL_1,0.975099802,LABEL_1,0.969254494,LABEL_1,0.972369909
11,LABEL_0,0.994479418,1467812579,LABEL_2,0.989284813,LABEL_1,0.970030129,LABEL_1,0.96296978,LABEL_1,0.958644688
12,LABEL_0,0.942485034,1467812723,LABEL_1,0.887678623,LABEL_1,0.880206466,LABEL_1,0.852198124,LABEL_1,0.788370728
13,LABEL_1,0.994549572,1467812771,LABEL_2,0.709569395,LABEL_1,0.945131063,LABEL_1,0.956830084,LABEL_1,0.933326602
14,LABEL_0,0.993997455,1467812784,LABEL_1,0.97467345,LABEL_1,0.937799811,LABEL_1,0.939577818,LABEL_1,0.926740885
15,LABEL_0,0.994315803,1467812799,LABEL_1,0.98861444,LABEL_1,0.983794391,LABEL_1,0.982549906,LABEL_1,0.980377138
16,LABEL_0,0.98978287,1467812964,LABEL_1,0.950577855,LABEL_1,0.941083014,LABEL_1,0.92923063,LABEL_1,0.906604469
17,LABEL_1,0.996571064,1467813137,LABEL_2,0.991190314,LABEL_1,0.925533772,LABEL_1,0.940321088,LABEL_1,0.939610779
18,LABEL_2,0.994333386,1467813579,LABEL_2,0.994409621,LABEL_1,0.957931817,LABEL_1,0.825266898,LABEL_1,0.896898687
19,LABEL_0,0.979918957,1467813782,LABEL_1,0.967476189,LABEL_1,0.961952209,LABEL_1,0.966238916,LABEL_1,0.957873404
20,LABEL_0,0.592173517,1467813985,LABEL_2,0.842094719,LABEL_1,0.959540904,LABEL_1,0.963352442,LABEL_1,0.96291101
21,LABEL_0,0.971399546,1467813992,LABEL_2,0.986287534,LABEL_1,0.941604137,LABEL_1,0.926658034,LABEL_1,0.921385109
22,LABEL_0,0.993316531,1467814119,LABEL_2,0.959251702,LABEL_1,0.961626232,LABEL_1,0.943896353,LABEL_1,0.942434967
23,LABEL_0,0.962063491,1467814180,LABEL_1,0.863308489,LABEL_1,0.724186003,LABEL_1,0.716795206,LABEL_0,0.5016312
24,LABEL_0,0.584497213,1467814192,LABEL_2,0.993956447,LABEL_1,0.971054673,LABEL_1,0.963185072,LABEL_1,0.95123136
25,LABEL_0,0.994756341,1467814438,LABEL_1,0.973092914,LABEL_1,0.876612306,LABEL_1,0.896219492,LABEL_1,0.776678324
26,LABEL_0,0.883398294,1467814783,LABEL_2,0.975481927,LABEL_1,0.968189299,LABEL_1,0.966846108,LABEL_1,0.965860426
27,LABEL_0,0.995540082,1467814883,LABEL_1,0.837948203,LABEL_0,0.891258121,LABEL_0,0.907158196,LABEL_0,0.916781366
28,LABEL_1,0.991834998,1467815199,LABEL_2,0.961719513,LABEL_1,0.973887503,LABEL_1,0.972806215,LABEL_1,0.972208977
29,LABEL_0,0.988501191,1467815753,LABEL_1,0.948217392,LABEL_1,0.808417559,LABEL_1,0.836362898,LABEL_1,0.797797799
30,LABEL_0,0.995387495,1467815923,LABEL_1,0.89505744,LABEL_0,0.802501142,LABEL_0,0.715763152,LABEL_0,0.858974218
